Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
CT 7567,349191421,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
CT 7567,349191421,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
CT 7567,349191421,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Nall1986,557293475,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nall1986,557293475,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Nall1986,557293475,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Nall1986,557293475,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Nall1986,557293475,0,0,0,JKL + JML (6%): JKL JMLS Jolee GMY Old Ben
Nall1986,557293475,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Nall1986,557293475,0,0,0,Seps (1%): Dooku Jango GG GBA Nute
Nall1986,557293475,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Nall1986,557293475,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
CC 5576,854419318,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
CC 5576,854419318,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
CC 5576,854419318,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Jacke Aiche,269852122,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Jacke Aiche,269852122,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
LilBåby Том,465871768,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mortus,647791474,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Vader
FedeRox,753788473,0,0,0,SEE P1 5%: SEE Malak Sith Marauder EP Vader
Ocin,816683245,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Łord Thragg,434287123,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Łord Thragg,434287123,0,0,0,JKL + JML (6%): JKL JMLS Shaak Ti GMY Old Ben
Łord Thragg,434287123,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
KageSkywalker,616323741,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
KageSkywalker,616323741,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
KageSkywalker,616323741,0,0,0,GG (2%): GG B1 Droideka B2 Chewpio
Lex Naga,744987494,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Lex Naga,744987494,0,0,0,JKL + JML (6%): JKL JMLS JKA GAS Old Ben
Bizurker,856972599,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS BS
Bizurker,856972599,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bizurker,856972599,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Bizurker,856972599,0,0,0,Padme 3%: Padme JKA GK Ahsoka CAT
Bizurker,856972599,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Bizurker,856972599,0,0,0,Imperial Troopers 5%: Veers Piett Starck Range Trooper Dark Trooper
D Money,154714722,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
D Money,154714722,0,0,0,JKL + JML (6%): JKL JMLS JKA HYoda Old Ben
T boy 3,259354979,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
T boy 3,259354979,0,0,0,Seps (1%): Dooku Jango GG B1 Nute
MrsCrow,644614815,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Force Wielding Caveman,121617387,0,0,0,JKL + JML (6%): JKL JMLS Jolee GMY Old Ben
Force Wielding Caveman,121617387,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Darth Talon Sith Trooper
Force Wielding Caveman,121617387,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
