Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Nomad,742228988,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
Nomad,742228988,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Nomad,742228988,0,0,0,Seps (1%): Dooku Jango GBA AV Nute
Nomad,742228988,6,6,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Starck
Nomad,742228988,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Nomad,742228988,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Nomad,742228988,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Trooper Sith Marauder
Nomad,742228988,0,0,0,JKL + JML (6%): JKL JMLS BS Mace Old Ben
Nomad,742228988,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux HYoda
Nomad,742228988,24,24,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nomad,742228988,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Wheels,527159147,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Wheels,527159147,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee Old Ben
Wheels,527159147,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
Wheels,527159147,6,6,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Wheels,527159147,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Wheels,527159147,10,10,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Wheels,527159147,0,0,0,Seps (1%): Dooku Jango B1 MagnaGuard GG
Biuejed,478284627,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
Biuejed,478284627,13,13,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Biuejed,478284627,2,2,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Biuejed,478284627,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Tiberius,161338733,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Tiberius,161338733,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Tiberius,161338733,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Krooked,115786486,1,1,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Krooked,115786486,1,1,0,Padme 3%: Padme JKA GK Ahsoka C-3PO
Krooked,115786486,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Darthspartan,839624411,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Drew,177465895,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Gpa luis,544653239,0,0,0,SEE P1 5%: SEE Malak EP Darth Talon Sith Marauder
Gpa luis,544653239,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Gpa luis,544653239,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Gpa luis,544653239,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
