Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Wanja,749482363,2,0,2,146063,Padme JKA R4 Ahsoka R4 GK GMY
Ross,584911256,1,0,1,153837,Padme JKA Ahsoka R4 GK GMY
Sarith LeKit,239322449,0,0,0,155352,Padme JKA Ahsoka GK GMY
JonSnow,414914173,0,0,0,154675,Padme JKA Ahsoka GK GMY
Urke,655432856,1,0,1,149600,Padme JKA R4 Ahsoka GK GMY
Deexon,856353991,2,0,2,148523,Padme JKA Ahsoka R3 GK GMY
Gøłubøwski,823226235,0,0,0,153650,Padme JKA Ahsoka GK GMY
Gojko22,463392637,2,0,2,155253,Padme JKA Ahsoka R3 GK GMY
Jekka,863475437,0,0,0,151887,Padme JKA Ahsoka GK GMY
spyalter,523373391,0,0,0,155120,Padme JKA Ahsoka GK GMY
AlTor,447124628,0,0,0,158106,Padme JKA Ahsoka GK GMY
DANE,468833827,0,0,0,157847,Padme JKA Ahsoka GK GMY
dok,667433177,0,0,0,157166,Padme JKA Ahsoka GK GMY
gaara,967744726,2,0,2,148255,Padme JKA Ahsoka R3 GK GMY
Аскурђел,187558712,0,0,0,146134,Padme JKA Ahsoka GK GMY
MariusMD,374353155,0,0,0,157480,Padme JKA Ahsoka GK GMY
Arquangle Maqulas,297159885,1,0,1,147581,Padme R4 JKA Ahsoka GK GMY
Bobans,677114348,1,0,1,147653,Padme JKA Ahsoka GK GMY R4
Duda,331626844,0,0,0,155040,Padme JKA Ahsoka GK GMY
Igor,819674926,2,0,2,152297,Padme JKA Ahsoka R3 GK GMY
wastedyugoyouth,833546296,0,0,0,155224,Padme JKA Ahsoka GK GMY
Mini LilaBear,664217682,0,0,0,148282,Padme JKA Ahsoka GK GMY
Wuchur,785833396,0,0,0,149151,Padme JKA Ahsoka GK GMY
Mace Mardu,483324726,0,0,0,154254,Padme JKA Ahsoka GK GMY
Baća,285549468,0,0,0,154987,Padme JKA Ahsoka GK GMY
dart vejder,281271544,0,0,0,156995,Padme JKA Ahsoka GK GMY
Mileta,494653912,0,0,0,152296,Padme JKA Ahsoka GK GMY
Zipmiler,819529176,6,0,6,141476,Padme G12 JKA Ahsoka GK GMY
Djape15mp,339442767,0,0,0,151544,Padme JKA Ahsoka GK GMY
Vladan,473191379,0,0,0,154497,Padme JKA Ahsoka GK GMY
MINIdanilo,411311174,0,0,0,161208,Padme JKA Ahsoka GK GMY
nebojsa,557652299,1,0,1,156679,Padme JKA Ahsoka R4 GK GMY
Stardust,572855881,0,0,0,156418,Padme JKA Ahsoka GK GMY
EricTheodoreCartman,368492345,0,0,0,148388,Padme JKA Ahsoka GK GMY
DarthRevan0903,231265213,0,0,0,157282,Padme JKA Ahsoka GK GMY
sandels,313982715,0,0,0,143218,Padme JKA Ahsoka GK GMY
Gelbatron,751645243,3,0,3,151829,Padme JKA Ahsoka R2 GK GMY
Saša,362183758,0,0,0,157382,Padme JKA Ahsoka GK GMY
lukasarts2011,377249233,0,0,0,154629,Padme JKA Ahsoka GK GMY
Yakface,126215124,8,0,8,136908,Padme G12 JKA R3 Ahsoka GK GMY
jorke,729132761,6,0,6,137243,Padme JKA Ahsoka GK GMY G12
Crni Djordje,422439755,0,0,0,152383,Padme JKA Ahsoka GK GMY
Kolibri,985766812,0,0,0,158282,Padme JKA Ahsoka GK GMY
Noble Ruler,271168839,11,0,11,123140,Padme R3 JKA R3 Ahsoka R4 GK GMY G12
Ruske,382994679,0,0,0,152549,Padme JKA Ahsoka GK GMY
Petric,454569125,0,0,0,161801,Padme JKA Ahsoka GK GMY
0wuchur0,223294884,6,0,6,133175,Padme JKA Ahsoka GK R3 GMY R1
JayChan,792142811,0,0,0,145635,Padme JKA Ahsoka GK GMY
Mr51ngh007,686514237,0,0,0,149266,Padme JKA Ahsoka GK GMY
spyhunter,398167935,12,0,12,136267,Padme G12 JKA Ahsoka G12 GK GMY
