Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Beric,953382922,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Beric,953382922,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Old Ben
Beric,953382922,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Beric,953382922,0,0,0,Padme 3%: Padme JKA GK Ahsoka C-3PO
Baron Salis,495736288,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Baron Salis,495736288,0,0,0,SLKR+Armorer 12%: SL Kylo Armorer HYoda Daka Zombie
Baron Salis,495736288,0,0,0,Padme-b 2%: Padme JKA Clone Sergeant R2-D2 Barriss
Baron Salis,495736288,0,0,0,JKL + JML (6%): JKL JMLS Aayla BS Mace
Baron Salis,495736288,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe Juhani
Baron Salis,495736288,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Baron Salis,495736288,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Baron Salis,495736288,0,0,0,GG (2%): GG B1 Droideka B2 BT-1
Baron Salis,495736288,0,0,0,Seps (1%): Dooku Jango Nute AV GBA
Baron Salis,495736288,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Darth Talon Sith Trooper
Baron Salis,495736288,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
eleven rule,821573964,0,0,0,JKL + JML (6%): JKL JMLS HYoda JKR Old Ben
eleven rule,821573964,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
eleven rule,821573964,6,6,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
SliickMoose,493737815,6,6,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
SliickMoose,493737815,9,9,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Battlelord,597311355,0,0,0,JKL + JML (6%): JKL JMLS GAS GMY Old Ben
Grampa Tim,743537648,0,0,0,JKL + JML (6%): JKL JMLS Shaak Ti Jolee Old Ben
Grampa Tim,743537648,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Grampa Tim,743537648,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Grampa Tim,743537648,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Grampa Tim,743537648,10,10,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Grampa Tim,743537648,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GMY
Grampa Tim,743537648,0,0,0,SEE P1 5%: SEE Malak Sidious Sith Marauder EP
okeefechris,463248232,9,9,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
okeefechris,463248232,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Yasie Qui,347197687,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Yasie Qui,347197687,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
